date,price,ma20,margin_amount_100m,margin_pct,zone,hot,low_or_depressed,below_ma20_3w,above_ma20,reentry_armed,position,shares,cash,equity,event
2019-08-04,130.3670061319824,129.07273498388693,1296.02895,0.34615384615384615,low,False,True,False,True,False,HOLD,29828.38546609756,0.0,3888637.3109658756,
2019-08-11,129.88386713458164,129.23149804156768,1286.72328,0.33653846153846156,low,False,True,False,True,False,HOLD,29828.38546609756,0.0,3874226.0547177014,
2019-08-18,129.4007281371808,129.38207246771248,1290.26207,0.3557692307692308,low,False,True,False,True,False,HOLD,29828.38546609756,0.0,3859814.7984695253,
2019-08-25,130.44752929821587,129.50514536023857,1300.83737,0.38461538461538464,low,False,True,False,True,False,HOLD,29828.38546609756,0.0,3891039.1870072377,
2019-09-01,131.8164231241848,129.62081343197625,1308.33784,0.40384615384615385,neutral,False,False,False,True,False,HOLD,29828.38546609756,0.0,3931871.0797104,
2019-09-08,134.4736876098892,129.7336140221594,1319.19218,0.4230769230769231,neutral,False,False,False,True,False,HOLD,29828.38546609756,0.0,4011132.989075362,
2019-09-15,135.11787293975695,129.9065684359206,1320.59028,0.4326923076923077,neutral,False,False,False,True,False,HOLD,29828.38546609756,0.0,4030347.997406263,
2019-09-22,136.4062435994924,130.04014731349702,1315.69551,0.4230769230769231,neutral,False,False,False,True,False,HOLD,29828.38546609756,0.0,4068778.0140680624,
2019-09-29,136.24519726702547,130.34531745570854,1326.51055,0.47115384615384615,neutral,False,False,False,True,False,HOLD,29828.38546609756,0.0,4063974.2619853374,
2019-10-06,137.1309520955936,130.95426051227736,1364.21668,0.4807692307692308,neutral,False,False,False,True,False,HOLD,29828.38546609756,0.0,4090394.898440325,
2019-10-13,138.17775325662868,131.6874010594013,1370.93776,0.5,neutral,False,False,False,True,False,HOLD,29828.38546609756,0.0,4121619.2869780376,
2019-10-20,141.64024940466774,132.50584066308974,1391.16681,0.5096153846153846,neutral,False,False,False,True,False,HOLD,29828.38546609756,0.0,4224899.956756624,
2019-10-27,143.00914323063665,133.45260615182946,1406.89088,0.5192307692307693,neutral,False,False,False,True,False,HOLD,29828.38546609756,0.0,4265731.849459787,
2019-11-03,145.10274555270678,134.40824184666812,1410.78964,0.5288461538461539,neutral,False,False,False,True,False,HOLD,29828.38546609756,0.0,4328180.626535211,
2019-11-10,149.04838069814664,135.4054681950215,1417.40475,0.5384615384615384,neutral,False,False,False,True,False,HOLD,29828.38546609756,0.0,4445872.552561973,
2019-11-17,148.64576486697933,136.378571672233,1404.87539,0.5192307692307693,neutral,False,False,False,True,False,HOLD,29828.38546609756,0.0,4433863.172355162,
2019-11-24,149.04838069814664,137.29196434933237,1399.2878,0.5192307692307693,neutral,False,False,False,True,False,HOLD,29828.38546609756,0.0,4445872.552561973,
2019-12-01,147.35739420724386,138.0529423489668,1410.65035,0.5480769230769231,neutral,False,False,False,True,False,HOLD,29828.38546609756,0.0,4395433.155693362,
2019-12-08,149.85361236048132,138.86220016961312,1413.26706,0.5673076923076923,neutral,False,False,False,True,False,HOLD,29828.38546609756,0.0,4469891.3129755985,
2019-12-15,156.05389616045827,139.96134138869996,1403.44831,0.5288461538461539,neutral,False,False,False,True,False,HOLD,29828.38546609756,0.0,4654835.768160511,
2019-12-22,156.13441932669173,141.2497120484354,1434.13452,0.5961538461538461,neutral,False,False,False,True,False,HOLD,29828.38546609756,0.0,4657237.644201874,
2019-12-29,157.82540581759451,142.6467889825861,1443.53892,0.6057692307692307,high,False,False,False,True,False,HOLD,29828.38546609756,0.0,4707677.0410704855,
2020-01-05,157.26174365396025,144.03983975842502,1446.17307,0.6153846153846154,high,False,False,False,True,False,HOLD,29828.38546609756,0.0,4690863.908780948,
2020-01-12,156.698081490326,145.35236736803057,1428.94286,0.5961538461538461,neutral,False,False,False,True,False,HOLD,29828.38546609756,0.0,4674050.776491411,
2020-01-19,156.698081490326,146.5964502863376,1424.73094,0.5961538461538461,neutral,False,False,False,True,False,HOLD,29828.38546609756,0.0,4674050.776491411,
2020-01-26,157.34226682019371,147.73987924685284,1406.72607,0.5480769230769231,neutral,False,False,False,True,False,HOLD,29828.38546609756,0.0,4693265.78482231,
2020-02-02,149.56814984175566,148.46239309195275,1352.46763,0.4807692307692308,neutral,False,False,False,True,False,HOLD,29828.38546609756,0.0,4461376.426930927,
2020-02-09,151.64663997296404,149.22441291062634,1320.11388,0.4423076923076923,neutral,False,False,False,True,False,HOLD,29828.38546609756,0.0,4523374.431752089,
2020-02-16,154.5565261566558,150.13997935510787,1326.3459,0.4807692307692308,neutral,False,False,False,True,False,HOLD,29828.38546609756,0.0,4610171.638501719,
2020-02-23,151.72977957821237,150.8699207292388,1350.5711,0.5,neutral,False,False,False,True,False,HOLD,29828.38546609756,0.0,4525854.351944936,
2020-03-01,147.40652010529894,151.33135907167232,1353.84552,0.5192307692307693,neutral,False,False,False,False,False,HOLD,29828.38546609756,0.0,4396898.501916916,
